date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2011-02-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,7.72,0.4911
2011-02-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,9.81,0.6243
2011-02-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,13.18,0.8387
2011-02-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,2.8,0.178
2011-02-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,2.1,0.1333
2011-02-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,1.75,0.1113
2011-03-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,4.06,0.2583
2011-03-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,2.47,0.1572
2011-03-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.63,0.231
2011-03-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,3.64,0.2316
2011-03-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,53.32,3.3926
2011-03-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,13.12,0.8346
2011-03-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,4.99,0.3175
2011-03-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,11.12,0.7075
2011-03-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,36.49,2.3217
2011-03-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,10.52,0.6694
2011-03-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,8.09,0.5147
2011-03-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,10.06,0.6401
2011-03-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,6.6,0.4199
2011-03-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,2.9,0.1845
2011-03-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,2.18,0.1387
2011-03-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,3.52,0.224
2011-04-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,4.05,0.2577
2011-04-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,2.7,0.1718
2011-04-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.76,0.2392
2011-04-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,3.7,0.2354
2011-04-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,53.3,3.3913
2011-04-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,13.05,0.8303
2011-04-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,5.04,0.3207
2011-04-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,11.9,0.7572
2011-04-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,36.62,2.33
2011-04-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,11.17,0.7107
2011-04-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,7.91,0.5033
2011-04-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,10.48,0.6668
2011-04-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,3.28,0.2087
2011-04-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,3.04,0.1934
2011-04-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,2.17,0.1381
2011-04-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,4.98,0.3169
2011-05-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,4.1,0.2609
2011-05-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,2.4,0.153
2011-05-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,4.2,0.267
2011-05-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,3.76,0.239
2011-05-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,54.64,3.4764
2011-05-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,13.22,0.8408
2011-05-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,5.06,0.3219
2011-05-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,12.16,0.7739
2011-05-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,37.21,2.3673
2011-05-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,11.49,0.731
2011-05-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,8.02,0.5104
2011-05-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,10.54,0.6704
2011-05-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,3.85,0.245
2011-05-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,2.35,0.1498
2011-05-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,1.89,0.1199
2011-05-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,3.77,0.24
2011-06-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,4.06,0.2583
2011-06-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,2.09,0.1327
2011-06-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,4.39,0.2793
2011-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,3.75,0.2388
2011-06-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,53.88,3.4285
2011-06-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,12.89,0.82
2011-06-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,4.98,0.3168
2011-06-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,12.14,0.7727
2011-06-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,37.4,2.3796
2011-06-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,11.6,0.7383
2011-06-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,8.62,0.5484
2011-06-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,10.73,0.6826
2011-06-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,5.83,0.3709
2011-06-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,1.68,0.1069
2011-06-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,1.62,0.103
2011-06-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,2.55,0.1623
2011-07-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,4.14,0.2637
2011-07-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,2.37,0.151
2011-07-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,4.78,0.3042
2011-07-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,3.81,0.2422
2011-07-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,54.96,3.4968
2011-07-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,13.28,0.8451
2011-07-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,5.02,0.3196
2011-07-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,12.16,0.7735
2011-07-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,38.0,2.4178
2011-07-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,11.59,0.7373
2011-07-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,8.7,0.5536
2011-07-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,10.62,0.6756
2011-07-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,7.54,0.48
2011-07-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,1.62,0.1034
2011-07-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,1.75,0.111
2011-07-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,2.07,0.1316
2011-08-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,4.16,0.2648
2011-08-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,2.85,0.1817
2011-08-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,5.32,0.3384
2011-08-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.4,0.28
2011-08-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,55.1,3.5058
2011-08-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,13.81,0.8784
2011-08-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,5.45,0.3465
2011-08-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,12.27,0.7806
2011-08-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,39.33,2.5025
2011-08-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,11.58,0.737
2011-08-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,8.6,0.5471
2011-08-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,10.0,0.6363
